20	10	6	8.778000
20	10	8	11.951000
34	16	6	8.504000
34	16	8	10.652000
38	18	6	6.409000
38	18	8	8.570000
40	20	6	6.930000
40	20	8	8.099000
44	20	6	3.285000
44	20	8	5.088000
46	22	6	3.299000
46	22	8	4.897000
52	24	6	3.114000
52	24	8	4.750000
60	28	6	4.265000
60	28	8	6.461000
62	28	6	5.530000
62	28	8	7.170000
66	32	6	3.654000
66	32	8	5.358000
70	28	6	2.678000
70	28	8	2.861000
72	36	6	2.113000
72	36	8	3.108000
74	36	6	1.781000
74	36	8	2.748000
78	36	6	1.978000
78	36	8	2.994000
80	36	6	2.392000
80	36	8	3.410000
90	40	6	3.448000
90	40	8	3.589000
90	42	6	2.812000
90	42	8	2.875000
94	44	6	2.498000
94	44	8	2.644000
96	40	6	3.483000
96	40	8	4.390000
96	42	6	2.441000
96	42	8	2.978000
96	44	6	2.150000
96	44	8	2.950000
98	44	6	2.223000
98	44	8	3.126000
100	46	6	2.189000
100	46	8	2.988000
102	46	6	2.111000
102	46	8	3.013000
106	46	6	2.077000
106	46	8	2.963000
106	48	6	2.492000
106	48	8	3.044000
106	50	6	2.325000
106	50	8	3.480000
108	44	6	1.241000
108	44	8	1.942000
108	46	6	1.771000
108	46	8	2.548000
108	48	6	2.541000
108	48	8	3.683000
108	52	6	2.048000
108	52	8	2.945000
110	50	6	2.478000
110	50	8	3.813000
112	48	6	2.168000
112	48	8	2.881000
114	50	6	3.150000
114	50	8	3.871000
116	46	6	1.559000
116	46	8	2.343000
116	48	6	2.027000
116	48	8	2.825000
118	54	6	1.397000
118	54	8	2.073000
122	52	6	1.751000
122	52	8	2.670000
122	54	6	1.467000
122	54	8	2.218000
124	52	6	1.747000
124	52	8	2.664000
124	54	6	1.548000
124	54	8	2.331000
128	54	6	1.737000
128	54	8	2.513000
128	56	6	1.407000
128	56	8	2.189000
128	60	6	0.848000
128	60	8	1.377000
130	56	6	1.593000
130	56	8	2.395000
130	58	6	1.324000
130	58	8	2.053000
132	56	6	1.932000
132	56	8	2.800000
134	62	6	0.897000
134	62	8	1.388000
136	52	6	1.383000
136	52	8	2.132000
136	58	6	2.214000
136	58	8	2.955000
136	60	6	1.747000
136	60	8	2.633000
136	62	6	1.221000
136	62	8	1.799000
140	58	6	2.108000
140	58	8	3.513000
140	60	6	2.366000
140	60	8	3.185000
142	60	6	2.209000
142	60	8	3.453000
146	56	6	0.958000
146	56	8	1.483000
146	58	6	1.171000
146	58	8	1.737000
148	56	6	0.808000
148	56	8	1.265000
148	58	6	0.840000
148	58	8	1.290000
148	62	6	1.906000
148	62	8	2.545000
148	66	6	2.731000
148	66	8	2.832000
150	60	6	0.720000
150	60	8	1.130000
150	66	6	1.851000
150	66	8	2.402000
150	68	6	2.621000
150	68	8	2.733000
152	60	6	0.484000
152	60	8	0.806000
152	62	6	0.707000
152	62	8	1.125000
154	62	6	0.544000
154	62	8	0.903000
154	66	6	1.224000
154	66	8	1.747000
154	68	6	1.788000
154	68	8	2.329000
156	64	6	0.585000
156	64	8	0.965000
156	68	6	1.341000
156	68	8	1.959000
160	66	6	0.581000
160	66	8	0.967000
162	66	6	0.549000
162	66	8	0.921000
166	66	6	0.527000
166	66	8	0.892000
166	68	6	0.545000
166	68	8	0.911000
166	74	6	1.226000
166	74	8	1.865000
168	68	6	0.549000
168	68	8	0.928000
170	74	6	0.876000
170	74	8	1.363000
170	76	6	1.325000
170	76	8	1.946000
172	70	6	0.540000
172	70	8	0.912000
172	74	6	0.728000
172	74	8	1.147000
172	76	6	1.054000
172	76	8	1.525000
174	70	6	0.526000
174	70	8	0.890000
174	74	6	0.706000
174	74	8	1.139000
176	70	6	0.564000
176	70	8	0.954000
176	74	6	0.699000
176	74	8	1.140000
176	76	6	0.743000
176	76	8	1.158000
176	78	6	0.906000
176	78	8	1.306000
178	74	6	0.694000
178	74	8	1.141000
180	72	6	0.641000
180	72	8	1.084000
180	78	6	0.757000
180	78	8	1.181000
182	80	6	0.946000
182	80	8	1.360000
184	74	6	0.748000
184	74	8	1.252000
186	76	6	0.869000
186	76	8	1.421000
190	78	6	1.288000
190	78	8	1.915000
196	78	6	1.526000
196	78	8	2.253000
196	84	6	1.390000
196	84	8	1.940000
202	82	6	2.235000
202	82	8	3.200000
204	84	6	1.627000
204	84	8	1.639000
208	82	6	4.424000
208	82	8	4.611000
208	84	6	1.524000
208	84	8	1.528000
210	82	6	1.195000
210	82	8	1.278000
210	84	6	1.473000
210	84	8	1.557000
214	88	6	1.820000
214	88	8	1.865000
216	88	6	1.508000
216	88	8	1.711000
218	88	6	1.122000
218	88	8	1.547000
224	90	6	0.535000
224	90	8	0.834000
226	88	6	0.417000
226	88	8	0.669000
232	90	6	0.333000
232	90	8	0.557000
236	92	6	0.310000
236	92	8	0.522000
248	96	6	0.299000
248	96	8	0.506000
