20	10	1.361472
34	16	1.252587
38	18	1.337182
40	20	1.168687
44	20	1.548858
46	22	1.484389
52	24	1.525369
60	28	1.514889
62	28	1.296564
66	32	1.466338
70	28	1.068335
72	36	1.470894
74	36	1.542953
78	36	1.513650
80	36	1.425585
90	40	1.040893
90	42	1.022404
94	44	1.058447
96	40	1.260408
96	42	1.219992
96	44	1.372093
98	44	1.406208
100	46	1.365007
102	46	1.427286
106	46	1.426577
106	48	1.221509
106	50	1.496774
108	44	1.564867
108	46	1.438735
108	48	1.449429
108	52	1.437988
110	50	1.538741
112	48	1.328875
114	50	1.228889
116	46	1.502886
116	48	1.393685
118	54	1.483894
122	52	1.524843
122	54	1.511929
124	52	1.524900
124	54	1.505814
128	54	1.446747
128	56	1.555792
128	60	1.623821
130	56	1.503453
130	58	1.550604
132	56	1.449275
134	62	1.547380
136	52	1.541576
136	58	1.334688
136	60	1.507155
136	62	1.473382
140	58	1.666509
140	60	1.346154
142	60	1.563151
146	56	1.548017
146	58	1.483348
148	56	1.565594
148	58	1.535714
148	62	1.335257
148	66	1.036983
150	60	1.569444
150	66	1.297677
150	68	1.042732
152	60	1.665289
152	62	1.591231
154	62	1.659926
154	66	1.427288
154	68	1.302573
156	64	1.649573
156	68	1.460850
160	66	1.664372
162	66	1.677596
166	66	1.692600
166	68	1.671560
166	74	1.521207
168	68	1.690346
170	74	1.555936
170	76	1.468679
172	70	1.688889
172	74	1.575549
172	76	1.446869
174	70	1.692015
174	74	1.613314
176	70	1.691489
176	74	1.630901
176	76	1.558546
176	78	1.441501
178	74	1.644092
180	72	1.691108
180	78	1.560106
182	80	1.437632
184	74	1.673797
186	76	1.635213
190	78	1.486801
196	78	1.476409
196	84	1.395683
202	82	1.431767
204	84	1.007376
208	82	1.042269
208	84	1.002625
210	82	1.069456
210	84	1.057026
214	88	1.024725
216	88	1.134615
218	88	1.378788
224	90	1.558879
226	88	1.604317
232	90	1.672673
236	92	1.683871
248	96	1.692308
